,,,10,0.9,0.005,0.5,250
-58.42,60,4671,,,,,
-59.62,60,4681,,,,,
-59.92,60,4692,,,,,
-56.005,57,4702,,,,,
-74.445,68,4712,,,,,
-64.885,68,4723,,,,,
-66.63,69,4733,,,,,
-67.48,70,4743,,,,,
-66.93,70,4753,,,,,
-58.85,64,4763,,,,,
-54.735,57,4774,,,,,
-57.105,54,4784,,,,,
-60.075,54,4795,,,,,
-58.94,53,4806,,,,,
-60.105,53,4817,,,,,
-60.37,53,4827,,,,,
-60.635,53,4838,,,,,
-58.09,51,4849,,,,,
-60.145,51,4860,,,,,
138.045,58,4883,,,,,
-67.05,59,4893,,,,,
-66.445,59,4903,,,,,
-66.74,59,4914,,,,,
-69.845,61,4924,,,,,
-54.3,51,4935,,,,,
-63.555,51,4946,,,,,
-63.81,51,4957,,,,,
-64.065,51,4967,,,,,
-64.32,51,4978,,,,,
-64.575,51,4989,,,,,
-64.83,51,5000,,,,,
-66.49,52,5010,,,,,
-64.445,51,5021,,,,,
-67.005,52,5032,,,,,
-64.96,51,5043,,,,,
-60.495,47,5053,,,,,
-68.545,50,5064,,,,,
-66.095,50,5074,,,,,
-66.345,50,5085,,,,,
-66.595,50,5095,,,,,
-66.845,50,5105,,,,,
-67.095,50,5116,,,,,
-64.535,48,5126,,,,,
-66.575,48,5138,,,,,
-68.22,49,5149,,,,,
-67.565,49,5159,,,,,
-67.81,49,5169,,,,,
-83.51,60,5180,,,,,
-58.455,49,5190,,,,,
-68.6,49,5201,,,,,
-68.845,49,5212,,,,,
-67.685,48,5222,,,,,
-68.825,48,5233,,,,,
-63.445,44,5244,,,,,
-68.67,45,5254,,,,,
-72.21,48,5265,,,,,
-69.75,48,5275,,,,,
-78.42,54,5285,,,,,
-80.315,59,5295,,,,,
-71.895,56,5306,,,,,
-73.47,55,5316,,,,,
-74.645,55,5326,,,,,
-60.87,45,5337,,,,,
-85.55,56,5347,,,,,
-78.74,58,5357,,,,,
-77.23,58,5368,,,,,
-74.71,56,5378,,,,,
-65.55,48,5388,,,,,
-72.99,48,5399,,,,,
-73.23,48,5409,,,,,
-73.47,48,5420,,,,,
-89.165,59,5430,,,,,
-79.5,59,5441,,,,,
-79.5,59,5451,,,,,
-64.1,48,5462,,,,,
-75.4,49,5472,,,,,
-73.1,48,5482,,,,,
-86.6,57,5493,,,,,
-78.5,57,5503,,,,,
-63.1,46,5513,,,,,
-80,51,5524,,,,,
-68.5,46,5535,,,,,
-73,46,5545,,,,,
-68.8,43,5556,,,,,
-71.5,43,5566,,,,,
-71.5,43,5577,,,,,
-71.5,43,5588,,,,,
-71.5,43,5598,,,,,
-71.5,43,5609,,,,,
-71.5,43,5620,,,,,
-65.9,39,5630,,,,,
-68.1,38,5641,,,,,
-69,38,5652,,,,,
-69,38,5662,,,,,
-70.4,39,5672,,,,,
-69.5,39,5683,,,,,
-69.5,39,5693,,,,,
-84.9,50,5704,,,,,
-73.6,49,5714,,,,,
-67.5,44,5725,,,,,
-72,44,5735,,,,,
-63.6,38,5747,,,,,
-59.2,31,5757,,,,,
-69.7,34,5768,,,,,
-68.4,35,5779,,,,,
-70.3,37,5789,,,,,
-71.3,39,5800,,,,,
-69.5,39,5810,,,,,
-80.7,47,5820,,,,,
-70.7,45,5830,,,,,
-72.5,45,5841,,,,,
-58.5,35,5851,,,,,
-64.7,33,5862,,,,,
-65.1,32,5872,,,,,
-67.4,33,5882,,,,,
-67.9,34,5893,,,,,
-67,34,5903,,,,,
-65.6,33,5914,,,,,
-67.9,34,5925,,,,,
-67,34,5935,,,,,
-67,34,5946,,,,,
-67,34,5956,,,,,
-65.6,33,5966,,,,,
-66.5,33,5977,,,,,
-56.7,26,5987,,,,,
-63,26,5998,,,,,
-63,26,6009,,,,,
-64.4,27,6020,,,,,
-62.1,26,6030,,,,,
-63,26,6041,,,,,
-63,26,6051,,,,,
-63,26,6062,,,,,
-63,26,6072,,,,,
-64.4,27,6083,,,,,
-62.1,26,6093,,,,,
-63,26,6104,,,,,
-61.6,25,6114,,,,,
-62.5,25,6125,,,,,
-62.5,25,6135,,,,,
-61.1,24,6146,,,,,
-62,24,6156,,,,,
-62,24,6167,,,,,
